Alternative_Id,Class_Rank,Percentile,SAT_Verbal_Score,SAT_Math_Score,ACT_Composite_Score,Age,Race,Gender,FTPT,CLASS,CUM_GPA,SEM_GPA,Earned-Credit-hours,Academic_Standing,Pell_status
STUDENT1,NULL,NULL,590,540,NULL,22,NULL,F,F,SR,3.4225,3.54,70,1,1
STUDENT10,64,82,600,650,NULL,21,NULL,M,F,JR,3.0267,3.24,55,1,2
STUDENT11,NULL,NULL,NULL,NULL,NULL,23,NULL,M,P,SO,2.9308,2.4667,70,1,1
STUDENT12,196,74,460,480,NULL,22,NULL,M,F,JR,3.631,3.72,50,2,2
STUDENT13,14,94,620,660,NULL,22,NULL,M,F,FR,3.8729,3.68,12,2,1
STUDENT14,11,92,580,590,NULL,21,NULL,F,F,SR,3.5438,3.65,65,2,1
STUDENT15,16,87,570,600,NULL,22,NULL,M,F,S0,3.1319,3.34,26,1,1
STUDENT16,NULL,NULL,450,480,20,22,NULL,M,F,SR,3.33,3.2,77,1,1
STUDENT17,NULL,NULL,560,630,NULL,21,NULL,M,F,JR,3.325,3.4,56,1,2
STUDENT18,26,85,540,550,NULL,21,NULL,M,F,SO,3.3867,3.36,33,1,2
STUDENT19,NULL,NULL,510,560,NULL,20,NULL,F,F,JR,3.8214,3.925,48,2,1
STUDENT2,NULL,NULL,600,650,26,22,NULL,M,F,SR,2.7182,2.66,80,1,1
STUDENT20,NULL,NULL,580,570,NULL,20,NULL,F,F,JR,3.5184,3.94,65,2,1
STUDENT21,NULL,NULL,440,460,20,21,NULL,F,F,SR,3.0667,3.2,82,1,1
STUDENT22,NULL,NULL,NULL,NULL,NULL,20,NULL,M,F,JR,3.1714,3.06,60,1,2
STUDENT23,NULL,NULL,590,530,NULL,21,NULL,F,F,SO,3.3025,2.86,36,1,2
STUDENT24,17,95,550,640,NULL,21,NULL,F,F,JR,3.672,3.72,63,2,2
STUDENT25,89,76,630,690,NULL,21,NULL,M,F,JR,3.232,3.26,63,1,2
STUDENT26,NULL,NULL,570,590,26,21,NULL,M,F,SO,3.9571,4,38,2,2
STUDENT27,NULL,NULL,600,560,NULL,21,NULL,F,F,JR,3.2141,2.72,42,1,2
STUDENT28,NULL,NULL,NULL,NULL,NULL,36,NULL,F,P,SR,2.335,1.7667,60,0,2
STUDENT29,NULL,NULL,NULL,NULL,NULL,21,NULL,F,F,SO,3.4474,3.575,23,1,2
STUDENT3,NULL,NULL,570,690,NULL,21,NULL,M,F,SO,3.6081,3.62,23,2,2
STUDENT4,NULL,NULL,670,690,30,22,NULL,F,F,SR,3.3758,3.08,63,1,2
STUDENT5,15,NULL,470,640,NULL,22,NULL,M,F,SO,3.725,3.775,22,2,2
STUDENT6,60,40,600,470,NULL,21,NULL,F,F,SO,3.3172,3.66,21,2,1
STUDENT7,NULL,NULL,410,480,NULL,21,NULL,F,F,SR,3.0938,2.6,73,1,1
STUDENT8,102,33,560,540,23,21,NULL,M,F,JR,2.78,3.12,59,1,1
STUDENT9,NULL,NULL,580,690,NULL,21,NULL,M,F,JR,3.9576,3.9357,57,2,2
